	name	hosts	imgurl	categories	description	percent_unique	num_guests	num_unique	avg_day_diff	active	premier	avg_ep_lengths	cat_bias	hub_leader_score	bt_diff_leader_score	close_rank	bt_rank	degree_rank
82	The Bone Zone	['Brendon Walsh', 'Randy Liedtke']	https://cdn.shopify.com/s/files/1/2292/0133/products/A_BoneZone_640x640.jpg?v=1507318704	['Comedy']	Podcast by The Bone Zone	33.7	92	31	8.9	False	2012-04-12 00:00:00	01:18:47	44.2	0	0	36	57	36
83	Economic Rockstar	['Frank Conway']	http://static.libsyn.com/p/assets/e/a/5/9/ea597327b7a0ac20/Economic_Rockstar_iTunes.png	['Education', 'Higher Education', 'Business', 'Investing', 'Society & Culture']	Economic Rockstar is created for you, the economist, financial analyst, teacher or student. If you are looking to expand your knowledge in economics and finance, Frank Conway delivers the information you just don't want to miss. Economic Rockstar brings to you each week an economist, financial analyst or business leader who shares their experiences, research interests or ideas. Hear their views on different schools of economic thinking - Chicago, Austrian, Keynesian and Classical, behavioral economics, stock markets, and how economics and finance can be used in our everyday lives. Economic Rockstar interviews top-level lecturers and academics from highly renowned universities, best-selling authors and bloggers, inspirational CEOs and business leaders, as well as amazing and thought-provoking people who have recently discovered economics and  finance and are carving out a career in their new-found passion. Guests in each episode gives us wonderful advice, takeaways and insights that will help you become part of the Economic Rockstar community which is 'Connecting Brilliant Minds in Economics and Finance'.	73.8	126	93	9.7	True	2014-11-13 23:24:03	00:52:51	37.4	0	0	161	127	155
84	Don't Ever Change with John Roy	['John Roy']	https://dfkfj8j276wwv.cloudfront.net/images/95/9f/d3/c2/959fd3c2-a376-404c-b6e5-19eccdc68813/2547048bfd02adcc9cc8d3e836d7248608615217d8c14bfc6f83e69c89ff23219e40b7f8cc71528fe25e883d000cc64627de86df3d4ee8426d0426a8be07e901.jpeg	['Comedy']	Find out what your favorite comedians were like back in the day with host John Roy. Just like high school, it's funny, absurd, dramatic, and traumatic.	5.1	118	6	11.1	False	2013-08-07 08:00:51	01:13:43	21.5	0	0	14	28	14
85	The K Ohle with Kurt Braunohler	['Kurt Braunohler']	http://static.libsyn.com/p/assets/8/3/2/8/83285b3c97764c11/k-ohle.jpg	['Comedy']	"The  K Ohle is a multi-format podcast hosted by comedian Kurt Braunohler.

FORMATS INCLUDE (but are not limited to):

The Boat Show – “The Best Non-Boating Boat Show on the Internet” – Kurt and his guests talk at length about boating, a topic of which they have no knowledge.

PETophilia – “The Animal Show for People Who Think Animals are Dumb” – guests get into it about their pets; plus, Animal Stories of the Week, Fact Animal Facts, and Who’s Dumber, the fun game the humiliates animals!

Get Lost! – “This Feels a Bit Rape-y” - Every episode, Kurt takes a guest into his car, blindfolds them, drives them somewhere they’ve never been, and they have to figure out where they are and how they’d get back. And they have some chats along the way.

FactTime - Kurt and co-host Matt Oberg unpack and investigate improvised stories from comedians while applying faulty scientific theories in a very produced and tightly edited format. If you love Radiolab, you'll love FactTime"	19.4	72	14	11.8	False	2013-04-30 09:00:00	00:58:44	36.4	0	0	33	53	32
86	Steve Agee: Uhhh	['Steve Agee']	https://dfkfj8j276wwv.cloudfront.net/images/6a/0e/11/b0/6a0e11b0-671f-4afb-823a-56248cfd1c0b/40c2c612c052a55eb55203a9c570e37aeac847289ececc7e0057d5ab2cba29b1a6e3bed0e01377689501c3d6c93dac6315ce779eb101e5bd94b79a9bab79d8af.jpeg	['Comedy']	There's no theme or gimmick, and the stakes are low, which is pretty much the only way host Steve Agee can deal with anything.	33.7	83	28	10.1	False	2012-08-18 01:17:42	01:22:05	77.3	0	0	40	70	39
87	High and Mighty	['Jon Gabrus']	https://dfkfj8j276wwv.cloudfront.net/images/1d/19/5f/12/1d195f12-2a29-47e7-8df8-99060b1a516e/f0b55d3e5495d430eb3e9d5aca15456bba9f6d2685b7ce7564b324d112c0eebd7e55e20ddf54749970c05202af6ba981b908915ff7b90db8b46fc57d90e97dcb.jpeg	['Comedy', 'Society & Culture']	"
      Gabrus' interests are all over the place...and so is this podcast. He interviews friends and celebrities, some who are both. About the kind of stupid stuff that a nerd/meathead/manchild would be into.
Tangents are not only allowed, they are encouraged.
    "	36.6	142	52	5.6	True	2015-07-30 03:50:08	01:12:12	24.5	0	0	66	72	66
88	Kumail Nanjiani's The X-Files Files	['Kumail Nanjiani']	https://assets.pippa.io/shows/59b897881c2b00cd37dedf8a/show-cover.jpeg	['TV & Film']	Kumail Nanjiani (Silicon Valley, The Indoor Kids) and a guest explore their favorite cases of The X-Files. The truth is out there!	27.3	33	9	11.1	False	2014-06-04 05:31:58	01:28:22	5.1	0	0	79	107	81
89	Getting Curious with Jonathan Van Ness	['Jonathan Van Ness']	http://static.libsyn.com/p/assets/b/0/6/4/b064141dc36d01f5/GettingCurious2018.jpg	['Society & Culture', 'Science & Medicine', 'Comedy']	A weekly exploration of all the things Jonathan Van Ness (Queer Eye, Gay of Thrones) is curious about. Come on a journey with Jonathan and experts in their respective fields as they get curious about anything and everything under the sun.	81.8	55	45	8.9	True	2015-12-15 15:27:47	00:34:18	16.0	0	0	130	119	129
90	Hollywood Handbook	['Hayes Davenport', 'Sean Clements']	https://dfkfj8j276wwv.cloudfront.net/images/49/38/9e/00/49389e00-c2a9-4333-aff5-af6e292e68df/05941754bef183c463c0af94dfa0f830242e721c0c88d47993334b5669880c52bcef937ef6e148d333c2505855c06a72e5faa349967a26ce726ef1e3a82e0ab4.jpeg	['Comedy']	Hollywood Handbook is an insider's guide to achieving your showbiz dreams from two A-List it-boys who are living theirs. Hayes and Sean provide an exclusive VIP backstage pass into Tinseltown politics, answer questions from unsuccessful listeners, and bring in famous guests to discuss their craft and how they became what they are (famous).Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free, plus bonus episodes of Hollywood Handbook: Pro Version. For a free month of listening, go to stitcherpremium.com/handbook and use promo code 'HANDBOOK.'	13.5	37	5	6.8	True	2017-10-03 00:00:00	01:06:40	4.0	0	0	101	132	96
91	RuPaul: What's The Tee with Michelle Visage	['RuPaul', 'Michelle Visage']	http://static.libsyn.com/p/assets/e/c/3/5/ec353555172c3b04/Whats_the_Tee_Ru.jpg	['Comedy', 'Health', 'Self-Help', 'Society & Culture']	"
      In this podcast RuPaul and his cohost Michelle Visage discuss pop culture, advice, beauty advice and behind the scenes of their hit show, RuPaul’s Drag Race.
    "	59.2	142	84	5.2	True	2014-06-04 08:09:49	01:10:24	114.5	0	0	75	91	80
92	Shane And Friends	['Shane Dawson', 'Jessie Buttafuoco']	http://i1.sndcdn.com/avatars-000278104111-80h0da-original.jpg	['Comedy']	Join Youtuber Shane Dawson and his sassy co-host Jessie Buttafuoco every other Friday for an hour of non-stop tea spilling, shade throwing, and overall hilarity. Shane & Jess dig deep into the lives of their celebrity guests by asking brutally honest questions that others might not have the balls to ask. Each episode features ridiculous stories from the personal lives of the Shane & Jess, segments like  “Farrah Abraham Time”, and games such as “Scat It”, “Dramatic Readings of Shitty Songs” and “Youtube Guessed it!” So sit back, relax, and stick your headphones in, because this show is not for everybody. Warning: Be careful of where and when you listen to Shane and Friends- You will laugh out loud and people will stare at you.	62.6	123	77	12.3	False	2013-07-02 03:14:25	01:07:41	36.4	0	0	98	116	101
93	Not Too Deep with Grace Helbig	['Grace Helbig', 'Jack Ferry']	http://jackferry.com/files/NotTooDeepWithGraceHelbigNew.jpg	['Comedy']	"You know those podcasts where famous people recount their lives and careers, and then things get emotional? That is NOT this show! Hosted by internet superstar Grace Helbig, ""Not Too Deep"" is a ridiculous, silly, and unapologetically superficial interview podcast, that is more about the laffs than about the feels."	52.9	140	74	8.8	True	2014-08-31 17:55:02	01:03:13	21.1	0	0	65	89	63
94	Think Again – a Big Think Podcast	['Jason Gots']	http://static.megaphone.fm/podcasts/fe024f40-bedd-11e5-9f03-1b69bc6dac84/image/uploads_2F1483454339284-6701ea5my00ax831-8bbf983a3fcd75bacd63795df2eb1098_2FThinkAgainLogoFinal3000x3000.png	['Arts', 'Society & Culture', 'Science & Medicine']	"We surprise some of the world's brightest minds with ideas they're not at all prepared to discuss. With host Jason Gots and special guests Neil Gaiman, Alan Alda, Salman Rushdie, Mary-Louise Parker, Richard Dawkins, Margaret Atwood, Sam Harris, Daniel Dennett, Saul Williams, Henry Rollins, Bill Nye, George Takei, Maria Popova, and many more . . .

You've got 10 minutes with Einstein. What do you talk about? Black holes? Time travel?

Why not gambling? The Art of War? Contemporary parenting?

Some of the best conversations happen when we're pushed outside of our comfort zones. So each week on Think Again, we surprise smart people you've probably heard of with hand-picked gems from Big Think's interview archives on every imaginable subject. The conversation could go anywhere.  

SINCE 2008, BIG THINK has captured on video the best ideas of the world’s leading thinkers and doers in every field, renowned experts including neurologist Oliver Sacks, physicist Stephen Hawking, behavioral psychologist Daniel Kahneman,  authors Margaret Atwood and Marylinne Robinson, entrepreneur Sir Richard Branson, painter Chuck Close, and philosopher Daniel Dennett.
"	55.1	138	76	7.7	True	2015-06-20 12:40:00	00:44:06	6.7	0	0	30	9	30
95	Rationally Speaking	['Julia Galef', 'Massimo Pigliucci']	http://skepticmedia.org/images/rs/itunesimage.jpg	['Science & Medicine', 'Natural Sciences', 'Social Sciences', 'Society & Culture', 'Philosophy']	"Rationally Speaking is the bi-weekly podcast of New York City Skeptics. Join host Julia Galef and guests as they explore the borderlands between reason and nonsense, likely from unlikely, and science from pseudoscience. Any topic is fair game as long as we can bring reason to bear upon it, with both a skeptical eye and a good dose of humor!
We agree with the Marquis de Condorcet, who said that in an open society we ought to devote ourselves to ""the tracking down of prejudices in the hiding places where priests, the schools, the government, and all long-established institutions had gathered and protected them.""Rationally Speaking was co-created with Massimo Pigliucci, is produced by Benny Pollak, and is recorded in the heart of New York City's Greenwich Village."	73.1	108	79	24.8	True	2010-03-28 09:42:46	00:50:34	17.4	0	0	142	123	144
96	Skepticality: The Official Podcast of Skeptic Magazine	['Derek Colanduno', 'Robynn McCarthy']	http://static.libsyn.com/p/assets/3/6/1/1/3611be4136340596/Skepticality-iTunes-1200-Cover.jpg	['Science & Medicine', 'Society & Culture', 'News & Politics']	Skeptical discussion, critical thinking, science, and the de-bunking of the supernatural and psuedoscience.	80.3	127	102	32.8	True	2005-05-20 07:14:00	01:00:51	27.2	0	0	131	110	131
97	Friendly Atheist Podcast	['Hemant Mehta', 'Jessica Bluemke']	http://i1.sndcdn.com/avatars-000118968396-6x0y94-original.jpg	['Religion & Spirituality']	This is the podcast for FriendlyAtheist.com	81.0	137	111	8.8	True	2014-12-07 20:42:58	00:37:01	20.7	0	0	114	113	122
98	Snoop Dogg's GGN Podcast	['Snoop Dogg']	http://i1.sndcdn.com/avatars-000224515771-mt0v0w-original.jpg	['Society & Culture']	"Wake and bake cuz! Down to smoke one with your big homie Snoop Dogg? Well, here I is and here’s your shot neffew. Get up close and personal with me – the one and only Snoop Dogg each week on my official GGN podcast.

This podcast right here is hosted by none other than me…yours truly…music legend and pop culture icon… Snoop D-O-double G ya dig?!? This is nuthin but a smoked out session rolled tightly into podcast form that features me choppin’ game with and doin’ full-length interviews with a who’s who from the entertainment world. Listen to some funny ass comedic tales or me bustin’ some off tha cuff freestyles. Man, me and my guests speak on everything related to popular culture. No one does uncensored and uncut quite like ya boy Big Snoop…aka Finding Nemo…aka Nemo Hoes. And now I’m inviting you to blaze one up with us and jump on in.

Subscribe now and then join us for #PuffPuffPassTuesdays to listen to a brand new podcast delivered fresh from the oven, prepared perfectly on the GGN News Desk and delivered directly to your ear drum...You bitch you. LOL!

Oh, a don’t forget…you can listen to my GGN podcasts just about anywhere in your hood… iTunes and Soundcloud to be exact.

We also heavy on that social media Jack!

Make sure to follow us at: 
Facebook.com/DoubleGNews
Instagram.com/DoubleGNews
&
Facebook.com/SnoopDogg
Twitter.com/SnoopDogg
Instagram.com/SnoopDogg
Plus.Google.com/+SnoopDogg

Also catch more GGN content on my official video channel: https://www.youtube.com/user/westfesttv  .. UHEARME????

Chuuuch, Preach, Tabernacle…"	56.4	110	62	10.5	True	2015-02-19 00:00:00	00:36:41	5.2	0	0	84	73	88
99	Katie Couric	['Katie Couric']	https://dfkfj8j276wwv.cloudfront.net/images/b3/01/47/be/b30147be-db0b-4014-81b3-54d2bdccb36a/e7ba4c6cb1ac8917a3d0fb1a89750e954d401e28c15a063dea620e29f05ca38766be387d5720ac3cfda6c514044be1197e65400b1d11f15111514b8c0ff7f250.jpeg	['News & Politics']	"
      Journalism's most insightful interviewer. The biggest names in news, politics, and popular culture. Candid, unscripted conversations that go beyond the soundbites to reveal how we got here and what's really going on. Unexpected. Unconventional. Un-buttoned up.
    "	42.6	54	23	12.3	True	2016-07-28 07:06:06	00:55:10	7.1	0	0	121	105	119
