	Podcast Name	Hosts	feedURL	imageURL	categories	keywords	cleaner	description
1	The Joe Rogan Experience	['Joe Rogan']	http://joeroganexp.joerogan.libsynpro.com/rss	http://static.libsyn.com/p/assets/7/1/f/3/71f3014e14ef2722/JREiTunesImage2.jpg	['Comedy', 'Society & Culture', 'Technology']	comedian,joe,monkey,redban,rogan,talking,ufc	clean_joe_rogan	Conduit to the Gaian Mind
2	The Duncan Trussell Family Hour	['Duncan Trussell']	http://feeds.feedburner.com/DuncanTrussell	https://dfkfj8j276wwv.cloudfront.net/images/a5/61/da/36/a561da36-4f52-4e99-8dd8-39327127d1a4/5da29f0114e2bd9452a227692e5b6a128325544f2bf8d3eccac16f0989ae4202d9cacd3c462a1e2cff821dc6d38e279aa756834b237b3c83714c0b0a8e9130f9.jpeg	['Comedy', 'Arts', 'Religion and Spirituality']		clean_duncan_trussel	"
      <p>Duncan and a special guest explore a diverse range of topics including art, society, politics, religion, and more.</p>
    "
3	Bertcast's podcast	['Bert Kreischer']	http://bertcast.libsyn.com/rss	http://static.libsyn.com/p/assets/0/c/7/c/0c7ceaa632f83139/1400x1400Bertcast.jpg	['Comedy']	bert,kreischer,machine,the	clean_bert_kreischer	Comic and man of the world Bert Kreischer shares his wisdom and life with you.
4	The Fighter & The Kid	['Brendan Schaub', 'Bryan Callen']	https://rss.art19.com/fighter-and-the-kid	https://dfkfj8j276wwv.cloudfront.net/images/b8/c5/2e/ce/b8c52ece-79d2-46f9-81bf-6cce4dc77800/bfd625393db10277d5c303ca78375af9e7c5bb59da46752add461ef74adfdf555b1c523849be889ec5ad88756e46b38944d985093671fd95fcbc03ed697d4129.jpeg	['Sports & Recreation', 'Society & Culture', 'Comedy']	bellator,ufcfightnight,mixed martial arts,ufc fight night,fight night,ufc event,funny,Comedy,Brendan Schaub,Bryan Callen,Ultimate Fighting Championship,ufc,MMA	clean_tfatk	"
      <p>The Fighter &amp; The Kid is a weekly podcast featuring UFC heavyweight Brendan Schaub, and actor/comedian Bryan Callen. It's uncut and unedited and sometimes it's just ridiculous. Get The Fighter and The Kid Live show tickets/info and merchandise at: www.TFATK.com</p>
    "
5	Ari Shaffir's Skeptic Tank	['Ari Shaffir']	http://shaffir1.libsyn.com/rss	http://static.libsyn.com/p/assets/b/4/2/5/b4254b9d8fe44416/SkepticTank_cover4.jpg	['Comedy', 'Education']	allthingscomedy,ari,arithegreat,burr,comedy,death,deathsquad,diaz,duncan,freak,joe,joey,kreischer,party,punchdrunk,rogan,sceptic,segura,septic,shaffir,shafir,skeptic,squad,store,tank,thisisnothappening,trussell	clean_ari_shaffir	A comedy podcast to help better understand humanity and also to make fart jokes.
6	Under The Skin with Russell Brand	['Russell Brand']	https://rss.art19.com/under-the-skin	https://dfkfj8j276wwv.cloudfront.net/images/96/ea/83/97/96ea8397-cf58-431e-8dd9-52076598956f/116d59ed2835d58004391beaa0d2642c26f3739452e996f20b13384f54eee5db752a71c1a70e0922941daf8b746395f6bf4758a6d593654fd595aaa04c4234af.jpeg	['Comedy', 'Society & Culture', 'Philosophy']		clean_russell_brand	"
      My new podcast 'Under The Skin' asks: what's beneath the surface - of people we admire, of the ideas that define our time, of the history we are told. Speaking with guests from the world of academia, popular culture and the arts, they'll help us to see the ulterior truth behind our constructed reality. And have a laugh.
    "
7	Pointless: with Kevin Pereira	['Kevin Pereira']	http://pointlesspod.libsyn.com/rss	http://static.libsyn.com/p/assets/b/c/b/c/bcbccaff844fdfb6/Pointless_Logo.png	['Comedy']	attack,attackoftheshow,g4,hackmylife,kevinpereira,pointless	clean_kevin_pereira	The podcast of Kevin Pereira, Live from Super Creative HQ.
8	ID10T with Chris Hardwick	['Chris Hardwick']	https://rss.art19.com/id10t	https://dfkfj8j276wwv.cloudfront.net/images/58/a1/cf/f4/58a1cff4-2127-476f-a386-eb043b863a7a/577d912b5d1f36c085da75e9b1590c392669d508757552874e76c4d4d1fe8d0143ed8b003d90b5a6e8eb5ef72763a9f889c5ca7818e8d5dc4740ffab7e19d414.jpeg	['Comedy']	ID10T,hardwick	clean_chris_hardwick	"
      <p>I am Chris Hardwick. This podcast used to be called Nerdist. Now it is not. It is still basically just me talking about stuff and things with my two nerdy friends Jonah Ray and Matt Mira when they’re available, and usually someone more famous and smarter than all of us. Swearing is still fun, so we still do that occasionally. I hope you like this new iteration which is the same as before, but if a name hangs you up unhealthily I’m sure you will not hesitate to unfurl your rage not only in the ‘reviews’ section but also now on all the various social media platforms that have popped up since we started in 2010, effectively murdering blogs.</p>
    "
9	Waking Up with Sam Harris	['Sam Harris']	http://wakingup.libsyn.com/rss	http://static.libsyn.com/p/assets/0/b/e/4/0be4dc9e0fc61265/podcast_art_alt_1.5.18.jpg	['Science & Medicine', 'Society & Culture', 'Religion & Spirituality']	currentevents,ethics,neuroscience,philosophy,politics,religion,samharris,science	clean_sam_harris	"Join neuroscientist, philosopher, and best-selling author Sam Harris as he explores important and controversial questions about the human mind, society, and current events. 

Sam Harris is the author of The End of Faith, Letter to a Christian Nation, The Moral Landscape, Free Will, Lying, Waking Up, and Islam and the Future of Tolerance (with Maajid Nawaz). The End of Faith won the 2005 PEN Award for Nonfiction. His writing has been published in more than 20 languages. Mr. Harris and his work have been discussed in The New York Times, Time, Scientific American, Nature, Newsweek, Rolling Stone, and many other journals. His writing has appeared in The New York Times, The Los Angeles Times, The Economist, Newsweek, The Times (London), The Boston Globe, The Atlantic, The Annals of Neurology, and elsewhere.

Mr. Harris received a degree in philosophy from Stanford University and a Ph.D. in neuroscience from UCLA."
10	Kill Tony	['Tony Hinchcliffe', 'Brian Redban']	http://www.deathsquad.tv/feed/	http://is1.mzstatic.com/image/thumb/Music62/v4/a2/28/46/a22846be-aa37-a34f-b0b1-82f2eda98fff/source/1200x630bb.jpg	['Comedy', 'Technology', 'TV & Film']		clean_kill_tony	
