	name	hosts	imgurl	categories	description	percent_unique	num_guests	num_unique	avg_day_diff	active	premier	avg_ep_lengths	cat_bias	hub_leader_score	bt_diff_leader_score	close_rank	bt_rank	degree_rank
123	The Pony Hour	['Tony Hinchcliffe']	http://i1.sndcdn.com/avatars-000310577091-m7tor3-original.jpg	['Comedy']	Podcast by Tony Hinchcliffe	8.3	12	1	25.8	False	2016-12-02 23:33:30	01:05:48	4.5	0	0	140	158	133
124	Jocko Podcast	['Jocko Willink', 'Echo Charles']	http://static.libsyn.com/p/assets/2/b/e/b/2bebbe9aaa40969a/Cover_Art1.jpg	['Business', 'Management & Marketing']	Leadership and Discipline	83.3	30	25	21.0	True	2016-05-04 05:14:31	02:47:40	26.2	0	0	141	134	142
125	The Tim Ferriss Show	['Tim Ferriss']	https://dfkfj8j276wwv.cloudfront.net/images/69/10/10/fb/691010fb-625e-4abe-993c-a57228b28dbe/91cb53ae0d5dbb379b9dffecf0a772593891d0d09bbe6d90ee746edbdb79e3ec75584f2ceb8260e9f675a90c05419b9b99842a76905b686f0f51c1a9d3e227ab.jpeg	['Business', 'Health', 'Education']	"
      Tim Ferriss is a self-experimenter and bestselling author, best known for The 4-Hour Workweek, which has been translated into 40+ languages.  Newsweek calls him ""the world's best human guinea pig,"" and The New York Times calls him ""a cross between Jack Welch and a Buddhist monk.""  In this show, he deconstructs world-class performers from eclectic areas (investing, chess, pro sports, etc.), digging deep to find the tools, tactics, and tricks that listeners can use.
    "	36.1	158	57	4.7	True	2014-04-18 08:13:57	01:38:34	20.9	0	0	46	18	48
126	StarTalk Radio	['Neil deGrasse Tyson']	http://i1.sndcdn.com/avatars-000100403534-873grd-original.jpg	['Science & Medicine']	"Science meets comedy and pop culture on StarTalk Radio! Astrophysicist and Hayden Planetarium director Neil deGrasse Tyson, his comic co-hosts, guest celebrities and scientists discuss astronomy, physics, and everything else about life in the universe. But wait... there's more! Our new show, StarTalk All-Stars, features a revolving slate of all-star scientists and science educators including Bill Nye the Science Guy, backed up by your favorite comic co-hosts.

Catch new episodes of StarTalk Radio on Fridays at 7pm ET, and StarTalk All-Stars on Tuesdays at 7pm ET. Keep Looking Up!"	51.5	97	50	8.9	True	2015-03-07 21:21:49	00:53:04	7.4	0	0	92	59	95
127	The Doug Stanhope Podcast	['Doug Stanhope']	https://d15mj6e6qmt1na.cloudfront.net/i/26375217.jpg	['Comedy', 'Arts', 'Performing Arts']	Doug Stanhope hosts discussions with individuals he meets on the road and at home in Bisbee, AZ.	78.9	109	86	3.3	True	2014-06-09 10:00:00	01:29:01	Full Bias	0	0	94	115	92
128	Bitch Sesh: A Real Housewives Breakdown	['Casey Wilson', 'Danielle Schneider']	https://dfkfj8j276wwv.cloudfront.net/images/32/4c/41/76/324c4176-9c17-489f-a891-ba0436be4aaa/3c23471407d3b9dda01d83e30d9eff7e134e418c6bb710844286ded13abf1b74dc5ef99c273e1af851e0ac65e15c7a96692c79381fc6bbaa1ef63c5258b6c5e4.jpeg	['Comedy']	Casey Wilson and Danielle Schneider (Hotwives Of Las Vegas) LOVE the Real Housewives on Bravo, and they're sharing that excitement with you on Bitch Sesh! Listen in to hear the ladies dish on the season's wildest moments, answer to all your burning Housewives questions, drink Housewives-branded wine, and bring on some super special guests. Don't be tardy to the party!Listen to new bonus episodes only on Stitcher Premium. For a free month of listening, go to stitcherpremium.com/housewives and use promo code 'HOUSEWIVES'.	42.4	66	28	7.7	True	2015-12-02 11:38:14	01:11:18	5.7	0	0	76	88	73
129	Put Your Hands Together with Cam and Rhea	['Cameron Esposito', 'Rhea Butcher']	https://dfkfj8j276wwv.cloudfront.net/images/22/bb/fc/a0/22bbfca0-6331-4522-bacf-6dd766a70850/539a3286e54ba61fd97ce31d2c6b72c20f605d49dea6c13d3ff6440837232b3c23509a1a1fe978de9bd50c0f1b65384cf35cd3681291c0daa713d7f960d78ce2.jpeg	['Comedy']	Comedians Cameron Esposito and Rhea Butcher bring you fresh sets and backstage interviews from all of your favorite comedians. All in front of a live UCB audience. Get ready to clap!	39.6	485	192	1.7	True	2013-01-11 12:30:00	01:11:14	38.2	0	0	11	8	11
130	Watch What Happens Live with Andy Cohen	['Andy Cohen']	https://dfkfj8j276wwv.cloudfront.net/images/f2/d0/74/14/f2d07414-8487-44f1-a6ad-793bf398f708/7e4e900f9c390f8833db6d545bfd41ce3cfb90ff2b4674a0233f2ed024eb036eb9a3910ddd70965e59ccf8654b3a48dc87228e8a9b94dc9326a7a46434dedd1f.jpeg	['TV & Film']	"
      <p>Every night, Watch What Happens Live with Andy Cohen brings you lively conversations about&nbsp;everything in the world of entertainment, politics, and pop culture. Now, get that same dose of celebrity (and Bravolebrity) fun as a podcast! Subscribe to hear every episode, plus the live after show and exclusive behind-the-scenes content.&nbsp;</p><p>Join the conversation!</p><p>Twitter: <a href=""https://twitter.com/BravoWWHL"" target=""_blank"">@BravoWWHL</a></p><p>Instagram: <a href=""https://www.instagram.com/bravowwhl/?hl=en"" target=""_blank"">@BravoWWHL</a></p><p>Facebook: <a href=""https://www.facebook.com/WatchWhatHappensLive/"" target=""_blank"">Facebook.com/WatchWhatHappensLive</a></p><p>Bravo, WWHL, #WWHL, Reality TV, Housewives</p>
    "	62.2	217	135	0.9	True	2017-10-30 19:43:10	00:26:37	9.0	0	0	58	41	61
131	Rap Radar Podcast	['Elliott Wilson', 'Brian Miller']	https://www.omnycontent.com/d/playlist/4b5f9d6d-9214-48cb-8455-a73200038129/76f26848-76db-42d9-83bf-a78e0075127f/5d1a6abb-fdfe-4c3e-a6cb-a78e00751284/image.jpg?t=1505920529&amp;size=Large	['Music']		75.0	108	81	5.9	False	2015-08-10 20:00:38	01:14:31	60.5	0	0	150	146	151
132	The Vlad Couch	['DJ Vlad']	http://i1.sndcdn.com/avatars-000145573324-otc9rs-original.jpg	['Society & Culture']	"DJ Vlad sits down on his couch each week with a slew of celebrity guests - such as Charlamagne, Lord Jamar and a host of others. Join him each week as he shares these entire interviews with you about current events and news in urban culture.

For business questions contact:

Evan Hollins
evan@vladtv.com
(818) 927-1110"	79.5	83	66	7.0	False	2015-05-14 17:07:40	01:08:49	36.4	0	0	151	145	152
