	name	hosts	imgurl	categories	description	percent_unique	num_guests	num_unique	avg_day_diff	active	premier	avg_ep_lengths	cat_bias	hub_leader_score	bt_diff_leader_score	close_rank	bt_rank	degree_rank
41	Race Wars	['Kurt Metzger', 'Sherrod Small']	http://i1.sndcdn.com/avatars-000116363259-s7xsz1-original.jpg	['Comedy']	 Hilarious, honest and unfiltered, Race Wars with Kurt Metzger and Sherrod Small delivers a brutally funny perspective that can't be found anywhere else.  Kurt and Sherrod cut through all the layers of politically correct media spin to deliver hysterical and truthful opinions on social, racial and global topics. 	60.0	190	114	5.3	True	2014-03-09 00:38:16	01:13:13	26.0	0	0	59	81	59
42	The Todd Barry Podcast	['Todd Barry']	https://dfkfj8j276wwv.cloudfront.net/images/81/c4/84/5a/81c4845a-4439-4603-9a25-9da4aad24bc4/d40c3bfe15c68ed577cd24af10b69e9a87e90d6c26601b0aa92fe9b53fbbf05416b40b531262c6ad7386cdd58abb50b0810c7a92f478b186ec7e9df579cc2412.jpeg	['Comedy']	Highly regarded and amazing comedian Todd Barry talks to friends -- and maybe people he doesn't know -- about their careers, travel, food, and various other topics. Sounds good, doesn't it? Yeah. It really does.	18.8	154	29	9.7	False	2013-04-24 10:59:53	01:10:48	16.4	0	0	15	31	16
43	My Dumb Friends	['Dan St. Germain', 'Sean Donnelly']	http://i1.sndcdn.com/avatars-000225140756-t0z7qh-original.jpg	['Comedy']	Dan and Sean spend half the podcast talking to guests about the baffling choices they've made in life. The other half is Dan St. Germain and Sean Donnelly yelling at each other like an old married couple that should be divorced. It's not for everybody. Produced (and often co-hosted) by Thomas Attila Lewis.	22.0	159	35	6.5	False	2013-12-09 11:07:21	00:54:30	32.9	0	0	24	32	22
44	Pleasure Monkey Podcast	['Conner Moore']	http://static.libsyn.com/p/assets/b/1/4/7/b1470697c8f3fe34/PMP_LOGO_1440.png	['Health', 'Self-Help', 'Fitness & Nutrition', 'Society & Culture', 'Philosophy']	"On The Realness, the only thing off limits is bullsh*t.

Conner and his guests explore the beautiful mess called life with unapologetic authenticity and no shortage of strong language. Unedited, ridiculous, and impactful all wrapped up in one big sexy show. "	73.0	63	46	4.2	True	2017-05-10 14:29:24	01:06:45	35.3	0	0	145	155	146
45	Louder With Crowder	['Steven Crowder']	http://louderwithcrowder.com/wp-content/uploads/2014/10/steven-podcast.jpg	['News & Politics', 'Comedy']	Steven Crowder brings you news, entertainment and politics with the most politically incorrect show on the web. Guests, rants, sketches, your calls ... it's whatever.	56.5	108	61	5.1	True	2015-05-09 13:53:38	01:46:03	19.9	0	0	96	78	97
46	Doughboys	['Nick Wiger', 'Mike Mitchell']	https://dfkfj8j276wwv.cloudfront.net/images/16/d5/d9/b2/16d5d9b2-112b-44de-9f9d-dbbef0ea091a/59256c2c15b5aefee93d4aada1d4954fce5199dea9ae73e6a186c94e237b8becb6dec329ec34ce40e50456ba6ecdad67df4ea18e66a95f620934c0af9ecb3c7f.jpeg	['Comedy', 'Arts']	"
      The podcast about chain restaurants. Comedians Mike Mitchell and Nick Wiger review fast food/sit-down chains and generally argue about food/everything.
    "	34.2	117	40	7.0	True	2015-05-21 02:43:11	01:37:50	18.4	0	0	50	54	50
47	The Bill Simmons Podcast	['Bill Simmons']	https://dfkfj8j276wwv.cloudfront.net/images/f3/b2/15/7a/f3b2157a-6c3b-4851-83bb-74a9f9e51acb/032d72a5537ea8cbe4116e2f56c929c3c14ef6f0b6659eee2cd974e394793134ed59a2c3261203ba5f9648fe51af6eda43a11e0590e764b45c45a31391777bc6.jpeg	['Sports & Recreation']	"
      <p>HBO and The Ringer's Bill Simmons hosts the most downloaded sports podcast of all time, with a rotating crew of celebrities, athletes, and media staples, as well as mainstays like Cousin Sal, Joe House, and a slew of other friends and family members who always happen to be suspiciously available.</p>
    "	47.8	69	33	7.8	True	2015-10-01 06:19:43	01:17:51	21.9	0	0	63	56	67
48	Legion of Skanks Podcast	['Big Jay Oakerson', 'Luis J. Gomez', 'Dave Smith']	http://static.libsyn.com/p/assets/e/3/4/9/e349fe6b63c036b6/Untitled_design-7.jpg	['Comedy']	"
      <p>Legion of Skanks has been called ""the most offensive podcast on Earth"" and the hosts and creators wouldn't want it any other way! Stand up comedians and real-life best friends Big Jay Oakerson, Luis J. Gomez, and Dave Smith host their weekly ""podcast party"" from the Creek and Cave in Long Island City where they invite their loyal fans in studio to hang out and listen in as they discuss anything and everything in a hilarious and extremely uncensored way. The ""skanks"" consistently raise the bar on filth and depravity. The goal of the show isn't to educate, but rather to make you piss your pants laughing and possibly question your own moral code. The latest 15 episodes are always free, but if you want access to all the archives, watch live, chat live, access to the forums, and get the show a week before it comes out everywhere else - you can subscribe now at gasdigitalnetwork.com and use the code LOS to save 15% on the entire network.</p>
    "	16.7	18	3	5.7	True	2018-01-29 05:00:00	02:05:17	9.4	0	0	113	142	108
49	Punch Drunk Sports	['Ari Shaffir', 'Sam Tripoli', 'Jayson Thibault']	http://i1.sndcdn.com/avatars-000060349991-s96mh2-original.jpg	['Comedy']	"Punch Drunk is, for the most part, a sports podcast.  With 3 headlining stand-up comics and sometimes friends. Ari Shaffir, Sam Tripoli, and Jayson Thibault all met at the Comedy Store and have been friends for over 11 years. All 3 are stand-up comics and big sports fans. This podcast is their sports thoughts, arguments, stories, fights, and bets! The Podcast Tribune called Punch Drunk ""an asian massage for the real sports fans"".

Support the show by heading over cavemancoffeeco.com use the code 'punchdrunksports' and save 10%.

Watch/Listen LIVE on jlcn.tv Tuesdays from 12pm-2pm!!

Listen to past shows on  iTunes and Stitcher.

Full Video on YouTube.com/punchdrunksports

Tweet them @punchdrunk

Subscribe on iTunes and YouTube

Rate and Review!!!

Like, Comment and SHARE!!!

@arishaffir
@theteeb
@samtripoli
@punchdrunk

#punchdrunk"	23.4	47	11	19.5	True	2014-12-17 00:39:22	01:32:16	17.6	0	0	82	114	79
50	Hannibal Buress: Handsome Rambler	['Hannibal Buress']	http://i1.sndcdn.com/avatars-000292437283-dr2wmd-original.jpg	['Comedy']	Hannibal Buress is on the road, and he's taking you along for the ride. Each episode of Handsome Rambler is packed with Hannibal’s latest road stories and thoughts. Tune in for unfiltered observations on sports, sex, wrestling, relationships, philosophy, books, watches, other podcasts, bottled water reviews…anything can happen on Handsome Rambler.	41.4	29	12	14.3	True	2017-04-27 00:00:00	01:21:46	23.3	0	0	118	117	120
