	name	hosts	imgurl	categories	description	percent_unique	num_guests	num_unique	avg_day_diff	active	premier	avg_ep_lengths	cat_bias	hub_leader_score	bt_diff_leader_score	close_rank	bt_rank	degree_rank
28	How Did This Get Made?	['Paul Scheer', 'June Diane Raphael', 'Jason Mantzoukas']	https://dfkfj8j276wwv.cloudfront.net/images/1c/74/3b/e9/1c743be9-1820-49ad-b13c-f8554a37698f/ec7e4935400484879bef5009764cce98bf015f3f314369b3962409886a36b6065cc46d7d434c07c1966864e267505f8911d8f00331ace1b9368bc9f770578554.jpeg	['Comedy']	Have you ever seen a movie so bad that it's amazing? Paul Scheer, June Diane Raphael and Jason Mantzoukas want to hear about it! We'll watch it with our funniest friends, and report back to you with the results.	9.9	81	8	28.8	True	2011-01-26 00:32:55	01:25:12	9.2	0.4	0.02	22	29	23
29	The Todd Glass Show	['Todd Glass']	http://static.libsyn.com/p/assets/5/6/1/0/5610162170129e01/toddlogo.jpg	['Comedy']	Todd Glass has his very own show! He brings on his funny friends and they talk about whatever they want. And, of course, there are bits!	24.8	109	27	6.8	True	2011-08-12 03:20:00	02:11:34	298.6	0.86	0.05	19	35	19
30	Dumb People Town	['Jason Sklar', 'Randy Sklar', 'Daniel Van Kirk']	https://dfkfj8j276wwv.cloudfront.net/images/d1/f0/9e/47/d1f09e47-98ee-4a81-a842-0a5b02e09873/c09de8c8847d3461cd5665c0556ae2c5e076db7996f9e17c492391b905c6569e0a870b2763313797cd6a7690d6a57e78275313185242280ba0dd0fe36950fac9.jpeg	['Comedy', 'Society & Culture', 'News & Politics']	It’s as much an exploration as it is a celebration of dumb people doing dumb things (often in Florida). With Daniel Van Kirk, Randy Sklar, and Jason Sklar.	4.3	94	4	2.8	True	2017-01-17 08:00:00	01:03:11	49.3	0.0	0.0	12	24	12
31	Doug Loves Movies	['Doug Benson']	https://dfkfj8j276wwv.cloudfront.net/images/82/2f/79/e8/822f79e8-722d-4a6b-8647-8cc9741e87a9/f933e361a2ab293aa85d74f63a4ea343522012cae57c6efa04c518b09d5ad28201c3312b452e93b09b6e349f33b211553dedcf0b7ab4da2702d3680700b416ec.jpeg	['Comedy', 'TV & Film']	"
      Comedian Doug Benson (Super High Me, Last Comic Standing) invites his friends to sit down and discuss his first love: movies!
    "	33.9	112	38	1.7	True	2017-09-16 04:59:21	01:27:47	11.4	0.0	0.02	21	34	20
32	Getting Doug with High	['Doug Benson']	http://static.megaphone.fm/podcasts/40d5b304-bb47-11e7-9b72-cb2def99ce30/image/ItunesCover2.jpeg	['Comedy']	"Doug Benson, of the ""Doug Loves Movies"" podcast, and ""Super High Me,"" hosts a talk show where each week he and his guest will get super you-know-what. And then anything can happen. Probably some giggling. Go to YouTube.com/DougBenson for new shows - audio episodes will release here the day after it goes live. C'mon, let's get Doug!"	26.1	211	55	4.3	True	2013-10-04 20:19:00	00:58:00	15.7	0.44	0.16	10	19	10
33	Who Charted?	['Howard Kremer', 'Kulap Vilaysack']	https://dfkfj8j276wwv.cloudfront.net/images/4b/cb/49/e0/4bcb49e0-21f1-4c91-a32d-1fcc9aaf7cea/2d71321d1eb0408a42003caf2addf797c7a613b8f59399cd3941e0c5d597d559b3bbc6ebe80da127b9f77e51c5e26dc0501c2e204960efbde7516de7b8379ccf.jpeg	['Comedy']	Howard Kremer and Natasha Leggero bring on some of your favorite comedians to discuss the top 5 songs and movies of the week. Plus, Howard, the guests and Who Charted crew each bring a new song that they recommend over all the garbage on the charts. Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free. Go to stitcher.com/premium and use promo code EARWOLF for 1 month free (and $5 off the annual plan!)	7.5	40	3	2.2	True	2017-09-27 00:00:00	01:28:29	96.3	0.0	0.0	70	106	65
34	The Indoor Kids with Kumail Nanjiani and Emily V. Gordon	['Kumail Nanjiani', 'Emily V. Gordon']	http://static.libsyn.com/p/assets/0/5/c/8/05c8dcb6a18e64c7/IK_logo.jpg	['Comedy', 'Games & Hobbies', 'Video Games']	The Indoor Kids isn't just about video games, but it isn't not about video games. The Indoor Kids is all about the kind of lifestyle you have to lead in order to be a proper Gamer, capital G. Join hosts Kumail Nanjiani and Emily V. Gordon as they take a journey from childhood Shinobi obsessions, up through the best and worst video game adaptations of movies. Grab your Energy Swords(Mountain Dew liter bottles)!	45.2	115	52	8.2	False	2011-07-13 19:45:00	01:12:35	17.1	0.89	0.04	37	61	37
35	Comedy Film Nerds	['Graham Elwood', 'Chris Mancini']	http://static.libsyn.com/p/assets/c/f/6/7/cf67b16af95c5dd6/ComedyFilmNerds_ATC.jpg	['Comedy', 'TV & Film', 'Arts', 'Visual Arts']	Movie reviews by stand-up comics and filmmakers Graham Elwood and Chris Mancini	41.6	77	32	6.8	True	2016-11-08 21:11:55	01:05:41	13.5	0.0	0.0	60	74	59
36	The Champs with Neal Brennan + Moshe Kasher	['Neal Brennan', 'Moshe Kasher']	http://static.libsyn.com/p/assets/b/e/7/4/be743cc736d9e060/Champs_ATCcover2.jpg	['Comedy', 'Arts', 'Performing Arts', 'TV & Film']	Neal Brennan (Chappelle's Show), and Moshe Kasher (Chelsea Lately) welcome a different (black) guest every week to the podcast to discuss stupid things in a stupid way.	32.7	113	37	13.8	False	2011-08-06 21:19:00	01:14:28	9.6	0.64	0.08	31	27	32
37	Julian Loves Music	['Julian McCullough']	https://dfkfj8j276wwv.cloudfront.net/images/57/3d/08/52/573d0852-23e1-4b73-91fb-87921f41f549/40acc1a120d790aa6e5aea5547f7ae933592ac9783c0fd29b2cb7f832d4d2886319e4b1d9b6da1b2ad1cfda1044d340abc0462e35b35f3b9f7beac602d3fbb87.jpeg	['Comedy', 'Music']	"
      In the grand showbiz tradition of ripping off what works to make millions of his own dollars, comedian Julian McCullough (This American Life, The Tonight Show, @midnight) has taken the hugely popular DOUG LOVES MOVIES podcast and made JULIAN LOVES MUSIC. Do you love music and comedy? Does Billy Joel's music fill you with rage? You'll love JULIAN LOVES MUSIC!
    "	28.8	52	15	6.8	False	2016-02-20 07:07:00	01:03:39	47.9	0.0	0.0	46	66	45
38	Canceled	['Chris Cubas']	http://deow9bq0xqvbj.cloudfront.net/image-logo/726722/CanceledLogo.jpg	['Comedy']	Comedian Chris Cubas hosts a discussion about TV shows that lasted one season or less.	73.5	34	25	8.8	True	2015-01-12 20:13:25	00:58:06	Full Bias	0.04	0.0	155	161	151
39	Stand By Your Band	['Thomas Thakkar', 'Tommy McNamara']	https://assets.podomatic.net/ts/53/5a/a7/tomathakkar/pro/1400x1400_12053959.jpg	['Comedy']	Tom Thakkar and Tommy McNamara talk about the bands that Pitchfork attacks and your friends make fun of. The comics have on guests who love a band that everyone seems to hate, and together they give that band a fair chance.	58.8	68	40	6.0	True	2017-04-04 15:53:54	01:21:30	59.4	0.07	0.0	106	141	106
40	Truth & Iliza	['Iliza Shlesinger']	https://dfkfj8j276wwv.cloudfront.net/images/bd/e2/6e/62/bde26e62-29a3-4774-8c29-875c60d33a43/e410a837f6ef34ff1bc0960bdbbffd2da5498cf9922ec45f21d987009f6df0de840a9f1e6a901e6fb56a71b3881288fb78c5ec2b305e29fb29516d462a6d8443.jpeg	['Comedy', 'Business', 'News & Politics']	"
      Henry Rollins once said ""Nothing brings people together more than mutual hatred""- and Iliza Shlesinger believes that. It's the driving force behind war, political movements, and trickling all the way down to a really good cat fight on an episode of Real Housewives. Iliza believes that there is too much positivity in the world and we all get excited for things that make us happy for moments, but ultimately fade. ""Truth and Iliza"" believes that anger lasts longer than love; and sometimes anger can create a beautiful thing. Join Iliza Shlesinger and her friends talk about all the things that bother them on ""Truth and Iliza"" every week!
    "	29.3	92	27	8.8	False	2014-08-14 04:00:00	01:08:30	15.0	0.0	0.0	13	17	13
41	Race Wars	['Kurt Metzger', 'Sherrod Small']	http://i1.sndcdn.com/avatars-000116363259-s7xsz1-original.jpg	['Comedy']	 Hilarious, honest and unfiltered, Race Wars with Kurt Metzger and Sherrod Small delivers a brutally funny perspective that can't be found anywhere else.  Kurt and Sherrod cut through all the layers of politically correct media spin to deliver hysterical and truthful opinions on social, racial and global topics. 	60.2	191	115	5.3	True	2014-03-09 00:38:16	01:13:09	26.3	0.13	0.13	59	81	58
42	The Todd Barry Podcast	['Todd Barry']	https://dfkfj8j276wwv.cloudfront.net/images/81/c4/84/5a/81c4845a-4439-4603-9a25-9da4aad24bc4/d40c3bfe15c68ed577cd24af10b69e9a87e90d6c26601b0aa92fe9b53fbbf05416b40b531262c6ad7386cdd58abb50b0810c7a92f478b186ec7e9df579cc2412.jpeg	['Comedy']	Highly regarded and amazing comedian Todd Barry talks to friends -- and maybe people he doesn't know -- about their careers, travel, food, and various other topics. Sounds good, doesn't it? Yeah. It really does.	18.8	154	29	9.7	False	2013-04-24 10:59:53	01:10:48	16.4	0.2	0.16	15	31	16
43	My Dumb Friends	['Dan St. Germain', 'Sean Donnelly']	http://i1.sndcdn.com/avatars-000225140756-t0z7qh-original.jpg	['Comedy']	Dan and Sean spend half the podcast talking to guests about the baffling choices they've made in life. The other half is Dan St. Germain and Sean Donnelly yelling at each other like an old married couple that should be divorced. It's not for everybody. Produced (and often co-hosted) by Thomas Attila Lewis.	22.0	159	35	6.5	False	2013-12-09 11:07:21	00:54:30	33.0	0.82	0.07	24	32	22
44	Pleasure Monkey Podcast	['Conner Moore']	http://static.libsyn.com/p/assets/b/1/4/7/b1470697c8f3fe34/PMP_LOGO_1440.png	['Health', 'Self-Help', 'Fitness & Nutrition', 'Society & Culture', 'Philosophy']	"On The Realness, the only thing off limits is bullsh*t.

Conner and his guests explore the beautiful mess called life with unapologetic authenticity and no shortage of strong language. Unedited, ridiculous, and impactful all wrapped up in one big sexy show. "	73.0	63	46	4.2	True	2017-05-10 14:29:24	01:06:42	31.1	0.0	0.0	143	155	145
45	Louder With Crowder	['Steven Crowder']	http://louderwithcrowder.com/wp-content/uploads/2014/10/steven-podcast.jpg	['News & Politics', 'Comedy']	Steven Crowder brings you news, entertainment and politics with the most politically incorrect show on the web. Guests, rants, sketches, your calls ... it's whatever.	56.9	109	62	5.0	True	2015-05-09 13:53:38	01:45:30	20.2	0.0	0.07	96	78	97
46	Doughboys	['Nick Wiger', 'Mike Mitchell']	https://dfkfj8j276wwv.cloudfront.net/images/16/d5/d9/b2/16d5d9b2-112b-44de-9f9d-dbbef0ea091a/59256c2c15b5aefee93d4aada1d4954fce5199dea9ae73e6a186c94e237b8becb6dec329ec34ce40e50456ba6ecdad67df4ea18e66a95f620934c0af9ecb3c7f.jpeg	['Comedy', 'Arts']	"
      The podcast about chain restaurants. Comedians Mike Mitchell and Nick Wiger review fast food/sit-down chains and generally argue about food/everything.
    "	33.9	118	40	7.0	True	2015-05-21 02:43:11	01:37:50	18.5	0.05	0.0	50	54	50
47	The Bill Simmons Podcast	['Bill Simmons']	https://dfkfj8j276wwv.cloudfront.net/images/f3/b2/15/7a/f3b2157a-6c3b-4851-83bb-74a9f9e51acb/032d72a5537ea8cbe4116e2f56c929c3c14ef6f0b6659eee2cd974e394793134ed59a2c3261203ba5f9648fe51af6eda43a11e0590e764b45c45a31391777bc6.jpeg	['Sports & Recreation']	"
      <p>HBO and The Ringer's Bill Simmons hosts the most downloaded sports podcast of all time, with a rotating crew of celebrities, athletes, and media staples, as well as mainstays like Cousin Sal, Joe House, and a slew of other friends and family members who always happen to be suspiciously available.</p>
    "	48.6	70	34	7.8	True	2015-10-01 06:19:43	01:17:56	22.0	0.0	0.02	62	56	66
48	Legion of Skanks Podcast	['Big Jay Oakerson', 'Luis J. Gomez', 'Dave Smith']	http://static.libsyn.com/p/assets/e/3/4/9/e349fe6b63c036b6/Untitled_design-7.jpg	['Comedy']	"
      <p>Legion of Skanks has been called ""the most offensive podcast on Earth"" and the hosts and creators wouldn't want it any other way! Stand up comedians and real-life best friends Big Jay Oakerson, Luis J. Gomez, and Dave Smith host their weekly ""podcast party"" from the Creek and Cave in Long Island City where they invite their loyal fans in studio to hang out and listen in as they discuss anything and everything in a hilarious and extremely uncensored way. The ""skanks"" consistently raise the bar on filth and depravity. The goal of the show isn't to educate, but rather to make you piss your pants laughing and possibly question your own moral code. The latest 15 episodes are always free, but if you want access to all the archives, watch live, chat live, access to the forums, and get the show a week before it comes out everywhere else - you can subscribe now at gasdigitalnetwork.com and use the code LOS to save 15% on the entire network.</p>
    "	15.8	19	3	5.7	True	2018-01-29 05:00:00	02:04:59	9.8	0.0	0.0	115	142	108
49	Punch Drunk Sports	['Ari Shaffir', 'Sam Tripoli', 'Jayson Thibault']	http://i1.sndcdn.com/avatars-000060349991-s96mh2-original.jpg	['Comedy']	"Punch Drunk is, for the most part, a sports podcast.  With 3 headlining stand-up comics and sometimes friends. Ari Shaffir, Sam Tripoli, and Jayson Thibault all met at the Comedy Store and have been friends for over 11 years. All 3 are stand-up comics and big sports fans. This podcast is their sports thoughts, arguments, stories, fights, and bets! The Podcast Tribune called Punch Drunk ""an asian massage for the real sports fans"".

Support the show by heading over cavemancoffeeco.com use the code 'punchdrunksports' and save 10%.

Watch/Listen LIVE on jlcn.tv Tuesdays from 12pm-2pm!!

Listen to past shows on  iTunes and Stitcher.

Full Video on YouTube.com/punchdrunksports

Tweet them @punchdrunk

Subscribe on iTunes and YouTube

Rate and Review!!!

Like, Comment and SHARE!!!

@arishaffir
@theteeb
@samtripoli
@punchdrunk

#punchdrunk"	23.4	47	11	19.0	True	2014-12-17 00:39:22	01:32:37	18.2	0.0	0.0	82	114	79
50	Hannibal Buress: Handsome Rambler	['Hannibal Buress']	http://i1.sndcdn.com/avatars-000292437283-dr2wmd-original.jpg	['Comedy']	Hannibal Buress is on the road, and he's taking you along for the ride. Each episode of Handsome Rambler is packed with Hannibal’s latest road stories and thoughts. Tune in for unfiltered observations on sports, sex, wrestling, relationships, philosophy, books, watches, other podcasts, bottled water reviews…anything can happen on Handsome Rambler.	41.9	31	13	13.8	True	2017-04-27 00:00:00	01:21:06	12.3	0.0	0.0	119	117	123
51	Pirate Life Radio with Tait Fletcher	['Tait Fletcher']	http://static.libsyn.com/p/assets/3/7/a/b/37ab08d96355a92b/Tait_Face_Logo.jpg	['Health', 'Fitness & Nutrition']	Pirate Life Radio is a show about excellence... for yourself, your community, and your globe. It's about informed, accountable people that make a difference and inspire others. It's about unity, health, and transcendence. It's about building a strong tribe.	69.8	86	60	15.0	False	2013-04-17 22:15:16	01:26:04	11.4	0.09	0.02	100	86	98
52	Hear Me This Book	['Steve Rannazzisi']	http://static.libsyn.com/p/assets/d/0/f/7/d0f709d5086ee4b4/Hear_This_Me_Book.jpg	['Comedy', 'Arts', 'Literature', 'Society & Culture']	I haven't read that book that you think everyone should read.  I haven't read many books at all.  I know HOW, I just read many other things and do other things and STOP JUDGING.  So, I'll have guests tell me their favorite book and what happens and why I dumb for not reading it.  Enjoy.	26.2	42	11	8.8	False	2017-02-03 04:28:08	01:15:21	36.5	0.0	0.0	54	90	54
53	The Jim Rome Podcast	['Jim Rome']	https://www.omnycontent.com/d/playlist/4b5f9d6d-9214-48cb-8455-a73200038129/a7c446d6-29da-43ba-bbe5-a7da00ecda4a/a65603a6-cf22-4150-91c1-a7da00ed5220/image.jpg?t=1506004800&amp;size=Large	['Sports & Recreation']	A new show. Fresh content. A different beast.	61.2	49	30	5.8	True	2017-08-29 21:50:35	00:49:57	10.2	0.0	0.0	128	122	128
54	View from the Cheap Seats with the Sklar Brothers	['Jason Sklar', 'Randy Sklar']	https://dfkfj8j276wwv.cloudfront.net/images/f2/67/1d/22/f2671d22-a8fa-4875-9ed7-634b92dae372/68494d2c44f14d2a261a960e7597804e618268961ce5edd573e20d387a9e0eb6ebf721f704d2206092ec6e4df675e16ffe7208a2184f0b4d9763cc58c383f7d3.jpeg	['Sports & Recreation', 'Professional']	In a fresh iteration of a classic formula, comedians Jason and Randy Sklar share their unique comedic takes on an assortment of sporting issues and chat with an amazing array of guests.	21.7	106	23	9.5	True	2010-09-24 07:00:01	01:20:45	5.1	0.35	0.0	16	21	17
55	All Things Comedy Live	['Bill Burr', 'Al Madrigal']	http://i1.sndcdn.com/avatars-000098077444-pqafza-original.jpg	['Comedy']	"All Things Comedy podcast network founders Bill Burr and Al Madrigal are joined by fellow comics for an unconventional hour long show.
An All Things Comedy podcast."	0.0	36	0	20.8	False	2014-03-27 20:31:25	01:12:58	7.2	0.0	0.0	41	69	40
56	Dom Irrera Live from the Laugh Factory	['Dom Irrera']	http://static.libsyn.com/p/assets/c/3/4/a/c34a5d67c32736d4/Dom_Irrera_NewpodcastImage.jpg	['Comedy', 'Technology', 'Podcasting']	Stand up vet Dom Irrera chats up old and new comedian friends live on the world famous Laugh Factory stage with club owner Jamie Masada. Watch these comedy pals recount wild Hollywood tales, discuss their own lives, and consider the comedy business as it is and was, and what it will be.	22.4	85	19	11.7	True	2015-01-30 10:00:00	01:00:04	9.1	0.0	0.01	45	65	44
57	Aubrey Marcus Podcast	['Aubrey Marcus']	https://dfkfj8j276wwv.cloudfront.net/images/de/0d/91/ae/de0d91ae-e2cb-438a-9782-3fd552ae1a11/d88c366c64b948b068e6eee292b10c289387befa3dfff591a8af6e2ec04f338d9cb9f4f7c0980b59403546a9dd342a3ba6571e34c6714cc4c4de899481963a67.jpeg	['Health', 'Self-Help', 'Society & Culture', 'Philosophy']	"
      <p>Founder of Onnit, and modern philosopher Aubrey Marcus asks the important questions: &nbsp;How do we find our purpose, wake up to who we truly are, have a few more laughs, and human being a little better?  The Aubrey Marcus Podcast brings in world class guests from the fields of athletics, health, business, fitness, science, relationship and spirituality, and asks them to open up about the failures and successes that define their wisdom and character. &nbsp;Follow me on social @AubreyMarcus to keep up with the latest, and meet many of the incredible guests we’ve been honored to have on the show.</p><p><br></p>
    "	42.0	100	42	18.1	True	2012-04-24 22:23:31	01:02:12	4.4	0.0	0.03	73	45	74
58	Happy Sad Confused	['Josh Horowitz']	http://static.megaphone.fm/podcasts/d7b6c080-6321-11e6-9fb3-37bd74105fce/image/uploads_2F1501696135341-lhgtj69tl98-fc632e520d4c0aa4ca41033c6377dd64_2FHappySadConfused_Cover_1600x1600.jpg	['TV & Film']	"On Happy Sad Confused, Josh Horowitz gets nerdy and intimate with the biggest movie stars and filmmakers on the planet. Each and every week, you’ll hear in-depth, career-spanning conversations with everyone from Emma Stone and Hugh Jackman to Woody Allen and Quentin Tarantino. If you’ve ever wanted to know what it was like to get casual with A-listers like Anna Kendrick, Tom Hiddleston, or Kristen Stewart (all HSC regulars), then come on in and join Josh in the Happy Sad Confused studio. 

"	42.9	238	102	5.8	True	2014-02-24 00:00:00	00:54:02	6.8	0.0	0.25	51	20	53
59	Off Camera with Sam Jones	['Sam Jones']	http://i1.sndcdn.com/avatars-000151317521-0w0bxp-original.jpg	['Arts']	"Off Camera is a website, magazine, television show, and podcast.

Off Camera is hosted by photographer/director Sam Jones, who created the show out of his passion for the long form conversational interview, and as a way to share his conversations with a myriad of artists, actors, musicians, directors, skateboarders, photographers, and writers that pique his interest.

Because the best conversations happen Off Camera."	30.1	143	43	11.3	True	2013-11-27 16:36:43	01:04:15	4.4	0.0	0.05	48	52	49
60	Maltin on Movies	['Leonard Maltin', 'Jessie Maltin']	http://static.libsyn.com/p/assets/1/1/7/4/1174f928af06597c/maltinONmovies_logo-01.jpg	['TV & Film', 'Comedy']	Legendary film critic Leonard Maltin and his daughter Jessie are the ultimate movie fans. They love talking about movies, especially with people who share their enthusiasm—from living legends like Mel Brooks, Carl Reiner, and Quincy Jones to such contemporary artists as Amy Adams, Viggo Mortensen, Laura Dern, and Bryan Cranston. You’ll meet all kinds of interesting people and hear their recommendations of unsung movies you ought to know.	46.0	126	58	9.9	True	2014-11-12 02:18:32	00:58:55	7.0	0.0	0.08	34	43	33
61	How I Built This with Guy Raz	['Guy Raz']	https://media.npr.org/assets/img/2016/08/31/hibt_podcast_tile_sq-8d9498b292dc7a759bf4b7fc776dfe0e4c09da68.png?s=1400	['Business']	Guy Raz dives into the stories behind some of the world's best known companies. <em>How I Built This</em> weaves a narrative journey about innovators, entrepreneurs and idealists—and the movements they built.	79.3	92	73	5.5	True	2016-09-12 00:01:00	00:42:29	41.9	0.0	0.08	148	148	152
62	Modern Love	['Meghna Chakrabarti']	https://d279m997dpfwgl.cloudfront.net/wp/2016/10/tile-modern-love.jpg	['Society & Culture']	Modern Love features top actors performing true stories of love, loss, and redemption. It has included performances by Kate Winslet, Uma Thurman, Angela Bassett, Jake Gyllenhaal, Sterling K. Brown, and more. A collaboration between WBUR and The New York Times.  	53.5	99	53	7.4	True	2016-06-01 17:54:27	00:24:24	4.1	0.0	0.12	85	100	88
63	The School of Greatness	['Lewis Howes']	http://i1.sndcdn.com/avatars-000049189658-q7zh56-original.jpg	['Business']	Lewis Howes is a NYT bestselling author, Lifestyle Entrepreneur, former pro athlete and world record holder in football. The goal of the School of Greatness is to share inspiring stories from the most brilliant business minds, world class athletes and influential celebrities on the planet to help you find out what makes great people great.	59.0	134	79	4.6	True	2016-08-29 05:46:04	01:08:06	16.2	0.0	0.03	104	55	109
