	Podcast Name	Hosts	feedURL	imageURL	categories	keywords	cleaner	description
82	The Bone Zone	['Brendon Walsh', 'Randy Liedtke']	http://feeds.feedburner.com/TheBoneZone	https://cdn.shopify.com/s/files/1/2292/0133/products/A_BoneZone_640x640.jpg?v=1507318704	['Comedy']	Bonezone,Doorknockers,Leidtke,Bonehead,Brandon,drdavey,Brendon,Walsh,Randy,Liedtke,and,David,Johnson,Brian,Redban,Deathsquad,bonezone	clean_bone_zone	Podcast by The Bone Zone
83	Economic Rockstar	['Frank Conway']	http://economicrockstar.libsyn.com/rss	http://static.libsyn.com/p/assets/e/a/5/9/ea597327b7a0ac20/Economic_Rockstar_iTunes.png	['Education', 'Higher Education', 'Business', 'Investing', 'Society & Culture']	behavioraleconomics,bitcoin,careers,college,economics,economists,education,finance,freakonomics,gold,investment,money,psychology,stockmarket,university,wealth	clean_economic_rockstar	Economic Rockstar is created for you, the economist, financial analyst, teacher or student. If you are looking to expand your knowledge in economics and finance, Frank Conway delivers the information you just don't want to miss. Economic Rockstar brings to you each week an economist, financial analyst or business leader who shares their experiences, research interests or ideas. Hear their views on different schools of economic thinking - Chicago, Austrian, Keynesian and Classical, behavioral economics, stock markets, and how economics and finance can be used in our everyday lives. Economic Rockstar interviews top-level lecturers and academics from highly renowned universities, best-selling authors and bloggers, inspirational CEOs and business leaders, as well as amazing and thought-provoking people who have recently discovered economics and  finance and are carving out a career in their new-found passion. Guests in each episode gives us wonderful advice, takeaways and insights that will help you become part of the Economic Rockstar community which is 'Connecting Brilliant Minds in Economics and Finance'.
84	Don't Ever Change with John Roy	['John Roy']	http://feeds.feedburner.com/DontEverChangeWithJohnRoy	https://dfkfj8j276wwv.cloudfront.net/images/95/9f/d3/c2/959fd3c2-a376-404c-b6e5-19eccdc68813/2547048bfd02adcc9cc8d3e836d7248608615217d8c14bfc6f83e69c89ff23219e40b7f8cc71528fe25e883d000cc64627de86df3d4ee8426d0426a8be07e901.jpeg	['Comedy']	Comedy,feral audio	clean_john_roy	Find out what your favorite comedians were like back in the day with host John Roy. Just like high school, it's funny, absurd, dramatic, and traumatic.
85	The K Ohle with Kurt Braunohler	['Kurt Braunohler']	http://feeds.feedburner.com/TheKOhleWithKurtBraunohler	http://static.libsyn.com/p/assets/8/3/2/8/83285b3c97764c11/k-ohle.jpg	['Comedy']	braunohler,k,kurt,ohle	clean_kurt_braunohler	"The  K Ohle is a multi-format podcast hosted by comedian Kurt Braunohler.

FORMATS INCLUDE (but are not limited to):

The Boat Show – “The Best Non-Boating Boat Show on the Internet” – Kurt and his guests talk at length about boating, a topic of which they have no knowledge.

PETophilia – “The Animal Show for People Who Think Animals are Dumb” – guests get into it about their pets; plus, Animal Stories of the Week, Fact Animal Facts, and Who’s Dumber, the fun game the humiliates animals!

Get Lost! – “This Feels a Bit Rape-y” - Every episode, Kurt takes a guest into his car, blindfolds them, drives them somewhere they’ve never been, and they have to figure out where they are and how they’d get back. And they have some chats along the way.

FactTime - Kurt and co-host Matt Oberg unpack and investigate improvised stories from comedians while applying faulty scientific theories in a very produced and tightly edited format. If you love Radiolab, you'll love FactTime"
86	Steve Agee: Uhhh	['Steve Agee']	http://feeds.feedburner.com/SteveAgeeUhhhPodcast	https://dfkfj8j276wwv.cloudfront.net/images/6a/0e/11/b0/6a0e11b0-671f-4afb-823a-56248cfd1c0b/40c2c612c052a55eb55203a9c570e37aeac847289ececc7e0057d5ab2cba29b1a6e3bed0e01377689501c3d6c93dac6315ce779eb101e5bd94b79a9bab79d8af.jpeg	['Comedy']	comedy	clean_steve_agee	There's no theme or gimmick, and the stakes are low, which is pretty much the only way host Steve Agee can deal with anything.
87	High and Mighty	['Jon Gabrus']	https://rss.art19.com/high-and-mighty	https://dfkfj8j276wwv.cloudfront.net/images/1d/19/5f/12/1d195f12-2a29-47e7-8df8-99060b1a516e/f0b55d3e5495d430eb3e9d5aca15456bba9f6d2685b7ce7564b324d112c0eebd7e55e20ddf54749970c05202af6ba981b908915ff7b90db8b46fc57d90e97dcb.jpeg	['Comedy', 'Society & Culture']	pop culture,things,Improv,comedy,culture,interests,jon gabrus	clean_jon_gabrus	"
      Gabrus' interests are all over the place...and so is this podcast. He interviews friends and celebrities, some who are both. About the kind of stupid stuff that a nerd/meathead/manchild would be into.
Tangents are not only allowed, they are encouraged.
    "
88	Kumail Nanjiani's The X-Files Files	['Kumail Nanjiani']	http://feeds.feedburner.com/KumailNanjianisTheX-filesFiles	https://assets.pippa.io/shows/59b897881c2b00cd37dedf8a/show-cover.jpeg	['TV & Film']	feral audio, comedy, x-files, Kumail Nanjiani, Silicon Valley, Indoor Kids, sci-fi	clean_x_files	Kumail Nanjiani (Silicon Valley, The Indoor Kids) and a guest explore their favorite cases of The X-Files. The truth is out there!
89	Getting Curious with Jonathan Van Ness	['Jonathan Van Ness']	http://gettingcurious.libsyn.com/rss	http://static.libsyn.com/p/assets/b/0/6/4/b064141dc36d01f5/GettingCurious2018.jpg	['Society & Culture', 'Science & Medicine', 'Comedy']	curious,discovery,eye,funny,gay,hair,interview,jonathanvanness,netflix,queer,thrones	clean_jonathan_van_ness	A weekly exploration of all the things Jonathan Van Ness (Queer Eye, Gay of Thrones) is curious about. Come on a journey with Jonathan and experts in their respective fields as they get curious about anything and everything under the sun.
90	Hollywood Handbook	['Hayes Davenport', 'Sean Clements']	http://rss.earwolf.com/hollywood-handbook	https://dfkfj8j276wwv.cloudfront.net/images/49/38/9e/00/49389e00-c2a9-4333-aff5-af6e292e68df/05941754bef183c463c0af94dfa0f830242e721c0c88d47993334b5669880c52bcef937ef6e148d333c2505855c06a72e5faa349967a26ce726ef1e3a82e0ab4.jpeg	['Comedy']		clean_hollywood_handbook	Hollywood Handbook is an insider's guide to achieving your showbiz dreams from two A-List it-boys who are living theirs. Hayes and Sean provide an exclusive VIP backstage pass into Tinseltown politics, answer questions from unsuccessful listeners, and bring in famous guests to discuss their craft and how they became what they are (famous).Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free, plus bonus episodes of Hollywood Handbook: Pro Version. For a free month of listening, go to stitcherpremium.com/handbook and use promo code 'HANDBOOK.'
91	RuPaul: What's The Tee with Michelle Visage	['RuPaul', 'Michelle Visage']	http://rupaul.libsyn.com/rupaul.rss	http://static.libsyn.com/p/assets/e/c/3/5/ec353555172c3b04/Whats_the_Tee_Ru.jpg	['Comedy', 'Health', 'Self-Help', 'Society & Culture']	beauty,dragrace,fashion,fashionpopculture,michelle,michellevisage,nails,rupaul,rupaulsdragrace,visage	clean_rupaul	"
      In this podcast RuPaul and his cohost Michelle Visage discuss pop culture, advice, beauty advice and behind the scenes of their hit show, RuPaul’s Drag Race.
    "
